"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"200","CLEAR",19,41.936287173,-87.648990194
"201","CLEAR",22,41.721326987,-87.662533658
"202","CLEAR",12,41.764993635,-87.591538844
"203","CLEAR",16,41.947301261,-87.801374076
"204","CLEAR",15,41.788135993,-87.69379146
"205","CLEAR",0,41.903877323,-87.62511802
"206","CLEAR",17,41.693299122,-87.714103282
"207","CLEAR",10,41.965537227,-87.655027407
"208","CLEAR",20,41.710501902,-87.662274878
"209","CLEAR",22,41.830516594,-87.655869252
"210","CLEAR",15,41.931869733,-87.746753606
"211","CLEAR",13,41.789192601,-87.722906704
"212","CLEAR",11,41.93251256,-87.668457304
"213","RAIN",0,41.949920802,-87.747365047
"214","CLEAR",13,41.692559763,-87.621193695
"215","CLEAR",15,41.846167697,-87.71010254
"216","CLEAR",18,41.750176649,-87.614800028
"217","CLEAR",16,41.925234143,-87.670177001
"218","CLEAR",6,41.879367396,-87.644105461
"219","CLEAR",21,41.893166033,-87.627956277
"220","CLEAR",21,41.894904702,-87.745156922
"221","CLEAR",12,41.953036034,-87.785755816
"222","CLEAR",5,41.902624889,-87.718934837
"223","CLEAR",23,41.740367324,-87.726896102
"224","CLEAR",1,41.917208805,-87.731694374
"225","CLEAR",9,41.909760087,-87.743970997
"226","CLEAR",23,41.832846759,-87.694777648
"227","CLEAR",21,41.86403564,-87.619297069
"228","CLEAR",13,41.933011727,-87.766159831
"229","RAIN",14,41.869409054,-87.66419709
"230","CLEAR",19,41.949819854,-87.796012856
"231","CLEAR",16,41.90953467,-87.745967679
"232","CLEAR",15,41.734116078,-87.660644697
"233","CLEAR",14,41.933209448,-87.766372234
"234","CLEAR",11,41.884312831,-87.641123267
"235","CLEAR",18,41.85090773,-87.675949535
"236","CLEAR",10,41.809628698,-87.607369738
"237","CLEAR",16,41.881672804,-87.747893539
"238","CLEAR",10,41.756465064,-87.626652396
"239","CLEAR",11,41.8068414,-87.71604492
"240","CLEAR",13,41.713833957,-87.65971063
"241","CLEAR",12,41.953575923,-87.741899986
"242","RAIN",0,41.72141469,-87.639716268
"243","CLEAR",17,41.86464673,-87.686002512
"244","CLEAR",10,41.875479516,-87.706115771
"245","CLEAR",23,41.948682525,-87.657879553
"246","CLEAR",20,41.892518301,-87.618502427
"247","CLEAR",20,41.947277278,-87.657889537
"248","CLEAR",16,41.779123484,-87.683783099
"249","CLEAR",21,41.714019957,-87.66591374
"250","RAIN",9,41.736642838,-87.612470179
"251","CLEAR",15,41.776751119,-87.578766994
"252","CLEAR",15,41.891799828,-87.613769565
"253","CLEAR",19,41.852903362,-87.638416493
"254","CLEAR",15,41.823139286,-87.684393486
"255","CLEAR",18,41.9474203,-87.650276814
"256","CLEAR",9,41.783622212,-87.683908948
"257","RAIN",2,41.898423122,-87.706616405
"258","CLEAR",22,41.909171264,-87.660387179
"259","CLEAR",14,41.830511463,-87.67420893
"260","CLEAR",14,41.866068528,-87.724739597
"261","CLEAR",22,41.854550801,-87.630289716
"262","CLEAR",23,41.931363796,-87.774608811
"263","CLEAR",17,41.800895636,-87.694144122
"264","CLEAR",14,41.74077348,-87.578069162
"265","CLEAR",6,41.888863473,-87.71475377
"266","CLEAR",7,41.877187741,-87.726279762
"267","CLEAR",18,41.702013253,-87.691523502
"268","CLEAR",13,41.736170924,-87.624966329
"269","CLEAR",13,41.749695717,-87.558774227
"270","CLEAR",12,41.749698949,-87.696428111
"271","CLEAR",3,41.781634699,-87.698191988
"272","CLEAR",15,41.880791823,-87.729349662
"273","CLEAR",18,41.946656856,-87.685889506
"274","CLEAR",10,41.858030125,-87.729670566
"275","CLEAR",22,41.929256688,-87.785795165
"276","CLEAR",8,41.91121228,-87.701751283
"277","CLEAR",17,41.973700557,-87.657891936
"278","CLEAR",8,41.990299689,-87.705133214
"279","CLEAR",15,41.813694951,-87.704658015
"280","CLEAR",18,41.899303527,-87.701572917
"281","CLEAR",1,41.86143006,-87.704234397
"282","CLEAR",23,41.751495678,-87.576040694
"283","RAIN",1,41.778373141,-87.750854746
"284","CLEAR",23,41.857457166,-87.643628222
"285","CLEAR",11,41.688626354,-87.642408829
"286","CLEAR",17,41.945129848,-87.766583904
"287","CLEAR",14,41.863148194,-87.627466723
"288","CLEAR",19,41.794299263,-87.62230967
"289","CLEAR",14,41.793370554,-87.684175377
"290","CLEAR",16,41.885369694,-87.72565624
"291","CLEAR",17,41.836298949,-87.734183335
