Latitude,Longitude,crime_hour
41.757023415,-87.642981871,10
41.753457689,-87.650181219,12
41.924250576,-87.745545036,13
41.906132511,-87.670825222,15
41.823100288,-87.616979631,15
41.835642794,-87.641348667,20
41.943720372,-87.659078198,14
41.924467566,-87.798935588,14
41.763435021,-87.565297784,12
41.883674622,-87.69325264,22
41.847596951,-87.734663977,22
41.746962544,-87.577114229,22
41.859379458,-87.666194455,3
41.795991039,-87.630542489,11
41.830490151,-87.646100807,10
41.861711708,-87.717726299,15
41.847978997,-87.720210611,19
41.758120892,-87.566354398,18
41.752795843,-87.704911412,11
41.701315071,-87.626931073,11
41.906797102,-87.671861659,16
41.728737429,-87.586739412,17
41.758109495,-87.571240136,18
41.660565112,-87.556845468,10
41.87980496,-87.773012089,13
41.79329893,-87.66456619,10
41.737676653,-87.604853085,13
41.729926845,-87.649529363,0
41.754115911,-87.55033154,19
41.988341219,-87.65676102,16
41.87926429,-87.743945195,19
41.837974206,-87.651701404,14
41.76290467,-87.628106962,19
41.773468682,-87.648264226,17
41.65581012,-87.603910114,21
41.89318177,-87.6345943,2
41.811155434,-87.705309714,10
41.750271069,-87.613689162,12
41.925845933,-87.802650254,13
41.870824869,-87.718655889,22
41.816877471,-87.601065455,20
41.875132462,-87.736173215,14
41.904462488,-87.648118305,20
41.888944286,-87.724677894,18
41.757023415,-87.642981871,0
41.795991039,-87.630542489,17
41.786864286,-87.656254513,15
41.746473315,-87.648778489,23
41.757023415,-87.642981871,5
41.745059616,-87.606275692,10
41.76074819,-87.664922609,22
41.648918981,-87.546480579,7
41.65457668,-87.543513604,9
41.779201821,-87.687645566,11
41.75077942,-87.561366188,18
41.782526007,-87.664293162,16
41.832402748,-87.613371678,15
41.873237392,-87.715647681,20
41.896588511,-87.668529054,19
41.701315071,-87.626931073,9
41.777184766,-87.652008209,12
41.750475661,-87.605217784,12
41.691014016,-87.667578189,3
41.88777543,-87.670673381,20
41.786399399,-87.693898477,23
41.784420838,-87.650978283,2
41.701315071,-87.626931073,7
41.806159473,-87.643819065,8
41.896815646,-87.677966433,9
41.86011276,-87.712804207,13
41.850553906,-87.719844675,13
41.75799435,-87.570017351,18
41.884557133,-87.73634987,23
41.795991039,-87.630542489,21
41.797022081,-87.674392638,20
41.824728209,-87.643524474,22
41.892236758,-87.749397576,19
41.762275812,-87.666174971,9
41.694364039,-87.626542126,23
41.992260867,-87.681104494,16
41.888666413,-87.652227818,18
41.81427349,-87.622969326,19
41.766282386,-87.571711585,18
41.757630995,-87.585708249,3
41.931483924,-87.806517448,2
41.860066967,-87.720117178,9
42.00861487,-87.776740025,11
41.869090196,-87.739460343,23
41.898767916,-87.624116333,13
41.712391299,-87.642298633,19
41.806159473,-87.643819065,5
41.976454319,-87.901364605,18
41.720838195,-87.6323107,22
41.796936817,-87.663446505,23
41.757023415,-87.642981871,22
41.759331691,-87.630810679,10
41.878087847,-87.741440698,11
41.806016361,-87.657604399,16
41.902738743,-87.718338869,16
41.733745894,-87.637471792,2
41.759331691,-87.630810679,8
41.721840482,-87.617277592,9
41.884604507,-87.678094915,17
41.896176088,-87.660853065,17
41.866475734,-87.772933914,18
41.888993854,-87.626934833,18
41.896176088,-87.660853065,19
41.844135216,-87.73285389,14
41.726956515,-87.596112561,18
41.772969954,-87.700546316,11
41.817398864,-87.692427281,13
41.878123916,-87.633208786,13
41.749467765,-87.604236059,22
41.902122561,-87.664563204,19
41.866428839,-87.703509785,22
41.932835209,-87.643106886,1
41.855838254,-87.717588081,8
41.791147759,-87.685215478,10
41.906156234,-87.734609455,7
41.883007148,-87.685312534,16
41.787470739,-87.696065911,10
42.001354694,-87.690761129,9
41.779713714,-87.713825573,18
41.815841074,-87.668455026,6
41.751505533,-87.583994603,17
41.756037605,-87.558528774,17
41.934658369,-87.716569573,4
41.884844448,-87.752781043,21
41.677260659,-87.625093036,12
41.906797102,-87.671861659,8
41.959358492,-87.779433687,15
41.898767916,-87.624116333,15
41.890995133,-87.666056556,17
41.880965424,-87.771815847,23
41.844135216,-87.73285389,18
41.962423434,-87.708282737,16
41.771132967,-87.615402602,16
41.932651187,-87.653197025,23
41.889983415,-87.65776321,17
41.773002228,-87.720162649,15
41.779201821,-87.687645566,4
41.854060605,-87.672280529,20
41.811731082,-87.638928321,20
41.962423434,-87.708282737,12
41.926215267,-87.649840538,14
41.776918077,-87.679793478,16
41.855838254,-87.717588081,0
41.783080724,-87.620549159,2
41.867097632,-87.723702988,12
41.941185149,-87.776929862,8
41.894824927,-87.631788635,20
41.932308669,-87.722093817,6
41.895479821,-87.714177247,8
41.928645369,-87.737805821,10
41.768720328,-87.61533786,16
41.751505533,-87.583994603,19
41.781337741,-87.610826718,20
41.817398864,-87.692427281,3
41.877161446,-87.676536946,8
41.751815774,-87.657000438,14
42.014255166,-87.806607683,9
41.989243623,-87.665119726,14
41.889629205,-87.632543289,15
41.916781545,-87.705259869,20
41.946506597,-87.796027722,20
41.754673399,-87.568726335,21
41.769858738,-87.570965451,8
41.886519653,-87.666121493,20
41.759331691,-87.630810679,23
41.87775797,-87.725569852,0
41.837723084,-87.648698613,20
41.894917016,-87.757376511,13
41.880992442,-87.704486793,18
41.752920028,-87.563828953,1
41.796936817,-87.663446505,23
41.784679868,-87.649772879,9
41.8751369,-87.735971224,8
41.989243623,-87.665119726,12
41.931761455,-87.746604326,14
41.893623014,-87.765347251,15
41.88360569,-87.707634031,13
41.888993854,-87.626934833,13
41.892657733,-87.715008849,0
41.748508676,-87.608798314,10
41.93517142,-87.709941826,21
41.870226255,-87.748000824,12
41.906797102,-87.671861659,22
41.796120296,-87.717111187,13
41.711955296,-87.610241778,10
41.877161446,-87.676536946,23
41.773539975,-87.635487446,20
41.775015522,-87.683530209,6
41.877161446,-87.676536946,15
41.919936437,-87.652604537,10
41.795991039,-87.630542489,10
41.889983415,-87.65776321,22
41.795991039,-87.630542489,12
41.87285385,-87.632576028,10
41.737235745,-87.704938553,13
41.970907528,-87.763458695,18
